id,name,category,price,description,image_url
1,Puma T-Shirt,fashion,5330.67,"T-Shirt by Puma, high quality and stylish",https://picsum.photos/200?random=1
2,Nike Jeans,fashion,20201.29,"Jeans by Nike, high quality and stylish",https://picsum.photos/200?random=2
3,Boat Smartphone,electronics,21529.82,"Smartphone by Boat, high quality and stylish",https://picsum.photos/200?random=3
4,Atomic Habits Non-Fiction,books,15402.36,"Non-Fiction by Atomic Habits, high quality and stylish",https://picsum.photos/200?random=4
5,Atomic Habits Non-Fiction,books,17938.47,"Non-Fiction by Atomic Habits, high quality and stylish",https://picsum.photos/200?random=5
6,Nike Jacket,fashion,44186.99,"Jacket by Nike, high quality and stylish",https://picsum.photos/200?random=6
7,Atomic Habits Science,books,43791.03,"Science by Atomic Habits, high quality and stylish",https://picsum.photos/200?random=7
8,Samsung Headphones,electronics,40129.05,"Headphones by Samsung, high quality and stylish",https://picsum.photos/200?random=8
9,Samsung Headphones,electronics,49045.56,"Headphones by Samsung, high quality and stylish",https://picsum.photos/200?random=9
10,Sapiens Non-Fiction,books,2297.35,"Non-Fiction by Sapiens, high quality and stylish",https://picsum.photos/200?random=10
11,Sony Smartphone,electronics,4705.94,"Smartphone by Sony, high quality and stylish",https://picsum.photos/200?random=11
12,Zara T-Shirt,fashion,28924.86,"T-Shirt by Zara, high quality and stylish",https://picsum.photos/200?random=12
13,Adidas Jacket,fashion,26017.27,"Jacket by Adidas, high quality and stylish",https://picsum.photos/200?random=13
14,Think Big Biography,books,14363.29,"Biography by Think Big, high quality and stylish",https://picsum.photos/200?random=14
15,The Alchemist Biography,books,35674.92,"Biography by The Alchemist, high quality and stylish",https://picsum.photos/200?random=15
16,Atomic Habits Biography,books,12433.75,"Biography by Atomic Habits, high quality and stylish",https://picsum.photos/200?random=16
17,Atomic Habits Science,books,32691.51,"Science by Atomic Habits, high quality and stylish",https://picsum.photos/200?random=17
18,Samsung Monitor,electronics,16374.24,"Monitor by Samsung, high quality and stylish",https://picsum.photos/200?random=18
19,Redmi Headphones,electronics,29180.66,"Headphones by Redmi, high quality and stylish",https://picsum.photos/200?random=19
20,Nike Jeans,fashion,247.12,"Jeans by Nike, high quality and stylish",https://picsum.photos/200?random=20
21,HP Headphones,electronics,43209.62,"Headphones by HP, high quality and stylish",https://picsum.photos/200?random=21
22,The Alchemist Fiction,books,21544.14,"Fiction by The Alchemist, high quality and stylish",https://picsum.photos/200?random=22
23,Zara Jacket,fashion,20698.08,"Jacket by Zara, high quality and stylish",https://picsum.photos/200?random=23
24,Adidas Jacket,fashion,23695.64,"Jacket by Adidas, high quality and stylish",https://picsum.photos/200?random=24
25,Zara Jeans,fashion,48992.83,"Jeans by Zara, high quality and stylish",https://picsum.photos/200?random=25
26,Adidas T-Shirt,fashion,17229.53,"T-Shirt by Adidas, high quality and stylish",https://picsum.photos/200?random=26
27,Adidas Jacket,fashion,15309.24,"Jacket by Adidas, high quality and stylish",https://picsum.photos/200?random=27
28,Zara Jeans,fashion,12711.6,"Jeans by Zara, high quality and stylish",https://picsum.photos/200?random=28
29,Sapiens Fiction,books,1840.19,"Fiction by Sapiens, high quality and stylish",https://picsum.photos/200?random=29
30,Atomic Habits Science,books,33174.8,"Science by Atomic Habits, high quality and stylish",https://picsum.photos/200?random=30
31,Think Big Biography,books,19842.06,"Biography by Think Big, high quality and stylish",https://picsum.photos/200?random=31
32,Think Big Fiction,books,22236.37,"Fiction by Think Big, high quality and stylish",https://picsum.photos/200?random=32
33,Sapiens Biography,books,46081.45,"Biography by Sapiens, high quality and stylish",https://picsum.photos/200?random=33
34,Zara Shoes,fashion,25833.81,"Shoes by Zara, high quality and stylish",https://picsum.photos/200?random=34
35,Think Big Fiction,books,21366.7,"Fiction by Think Big, high quality and stylish",https://picsum.photos/200?random=35
36,Dell Headphones,electronics,16031.81,"Headphones by Dell, high quality and stylish",https://picsum.photos/200?random=36
37,Levi's Jacket,fashion,17815.15,"Jacket by Levi's, high quality and stylish",https://picsum.photos/200?random=37
38,Adidas T-Shirt,fashion,46294.05,"T-Shirt by Adidas, high quality and stylish",https://picsum.photos/200?random=38
39,Boat Laptop,electronics,48352.07,"Laptop by Boat, high quality and stylish",https://picsum.photos/200?random=39
40,Sapiens Biography,books,27785.44,"Biography by Sapiens, high quality and stylish",https://picsum.photos/200?random=40
41,Think Big Biography,books,6724.96,"Biography by Think Big, high quality and stylish",https://picsum.photos/200?random=41
42,Puma T-Shirt,fashion,24346.67,"T-Shirt by Puma, high quality and stylish",https://picsum.photos/200?random=42
43,Redmi Headphones,electronics,4620.44,"Headphones by Redmi, high quality and stylish",https://picsum.photos/200?random=43
44,Redmi Laptop,electronics,32357.87,"Laptop by Redmi, high quality and stylish",https://picsum.photos/200?random=44
45,Atomic Habits Fiction,books,40696.56,"Fiction by Atomic Habits, high quality and stylish",https://picsum.photos/200?random=45
46,Redmi Laptop,electronics,11445.92,"Laptop by Redmi, high quality and stylish",https://picsum.photos/200?random=46
47,The Alchemist Biography,books,31275.56,"Biography by The Alchemist, high quality and stylish",https://picsum.photos/200?random=47
48,Sapiens Non-Fiction,books,23325.94,"Non-Fiction by Sapiens, high quality and stylish",https://picsum.photos/200?random=48
49,Samsung Monitor,electronics,35606.95,"Monitor by Samsung, high quality and stylish",https://picsum.photos/200?random=49
50,Sapiens Biography,books,1829.42,"Biography by Sapiens, high quality and stylish",https://picsum.photos/200?random=50
51,Samsung Monitor,electronics,4529.29,"Monitor by Samsung, high quality and stylish",https://picsum.photos/200?random=51
52,HP Monitor,electronics,11582.7,"Monitor by HP, high quality and stylish",https://picsum.photos/200?random=52
53,Dell Laptop,electronics,15177.5,"Laptop by Dell, high quality and stylish",https://picsum.photos/200?random=53
54,Nike Jacket,fashion,32653.32,"Jacket by Nike, high quality and stylish",https://picsum.photos/200?random=54
55,The Alchemist Non-Fiction,books,44659.27,"Non-Fiction by The Alchemist, high quality and stylish",https://picsum.photos/200?random=55
56,Puma Jeans,fashion,36684.2,"Jeans by Puma, high quality and stylish",https://picsum.photos/200?random=56
57,HP Laptop,electronics,14083.4,"Laptop by HP, high quality and stylish",https://picsum.photos/200?random=57
58,Adidas Jeans,fashion,4906.93,"Jeans by Adidas, high quality and stylish",https://picsum.photos/200?random=58
59,Adidas Jacket,fashion,18051.1,"Jacket by Adidas, high quality and stylish",https://picsum.photos/200?random=59
60,Adidas Shoes,fashion,24752.11,"Shoes by Adidas, high quality and stylish",https://picsum.photos/200?random=60
61,The Alchemist Biography,books,29077.75,"Biography by The Alchemist, high quality and stylish",https://picsum.photos/200?random=61
62,HP Smartphone,electronics,38272.7,"Smartphone by HP, high quality and stylish",https://picsum.photos/200?random=62
63,Atomic Habits Biography,books,41285.32,"Biography by Atomic Habits, high quality and stylish",https://picsum.photos/200?random=63
64,Samsung Headphones,electronics,33670.51,"Headphones by Samsung, high quality and stylish",https://picsum.photos/200?random=64
65,Nike Shoes,fashion,31300.27,"Shoes by Nike, high quality and stylish",https://picsum.photos/200?random=65
66,Puma Shoes,fashion,28535.15,"Shoes by Puma, high quality and stylish",https://picsum.photos/200?random=66
67,Zara Shoes,fashion,44544.18,"Shoes by Zara, high quality and stylish",https://picsum.photos/200?random=67
68,Sapiens Fiction,books,25941.48,"Fiction by Sapiens, high quality and stylish",https://picsum.photos/200?random=68
69,Boat Monitor,electronics,26724.48,"Monitor by Boat, high quality and stylish",https://picsum.photos/200?random=69
70,The Alchemist Science,books,40621.03,"Science by The Alchemist, high quality and stylish",https://picsum.photos/200?random=70
71,Dell Smartphone,electronics,1864.94,"Smartphone by Dell, high quality and stylish",https://picsum.photos/200?random=71
72,Boat Monitor,electronics,27771.64,"Monitor by Boat, high quality and stylish",https://picsum.photos/200?random=72
73,Levi's Jacket,fashion,9331.0,"Jacket by Levi's, high quality and stylish",https://picsum.photos/200?random=73
74,Think Big Science,books,41280.05,"Science by Think Big, high quality and stylish",https://picsum.photos/200?random=74
75,Boat Laptop,electronics,38335.76,"Laptop by Boat, high quality and stylish",https://picsum.photos/200?random=75
76,HP Laptop,electronics,30305.59,"Laptop by HP, high quality and stylish",https://picsum.photos/200?random=76
77,HP Laptop,electronics,4551.69,"Laptop by HP, high quality and stylish",https://picsum.photos/200?random=77
78,The Alchemist Science,books,12847.26,"Science by The Alchemist, high quality and stylish",https://picsum.photos/200?random=78
79,Adidas Shoes,fashion,45386.07,"Shoes by Adidas, high quality and stylish",https://picsum.photos/200?random=79
80,Think Big Non-Fiction,books,26659.05,"Non-Fiction by Think Big, high quality and stylish",https://picsum.photos/200?random=80
81,Puma T-Shirt,fashion,30993.35,"T-Shirt by Puma, high quality and stylish",https://picsum.photos/200?random=81
82,Samsung Headphones,electronics,44676.54,"Headphones by Samsung, high quality and stylish",https://picsum.photos/200?random=82
83,Boat Monitor,electronics,27279.16,"Monitor by Boat, high quality and stylish",https://picsum.photos/200?random=83
84,Boat Laptop,electronics,839.47,"Laptop by Boat, high quality and stylish",https://picsum.photos/200?random=84
85,Nike Shoes,fashion,3921.39,"Shoes by Nike, high quality and stylish",https://picsum.photos/200?random=85
86,Zara T-Shirt,fashion,32566.75,"T-Shirt by Zara, high quality and stylish",https://picsum.photos/200?random=86
87,Sapiens Non-Fiction,books,1879.49,"Non-Fiction by Sapiens, high quality and stylish",https://picsum.photos/200?random=87
88,Levi's Jacket,fashion,2971.02,"Jacket by Levi's, high quality and stylish",https://picsum.photos/200?random=88
89,Atomic Habits Non-Fiction,books,17730.83,"Non-Fiction by Atomic Habits, high quality and stylish",https://picsum.photos/200?random=89
90,Zara Jeans,fashion,15918.76,"Jeans by Zara, high quality and stylish",https://picsum.photos/200?random=90
91,Atomic Habits Fiction,books,43887.97,"Fiction by Atomic Habits, high quality and stylish",https://picsum.photos/200?random=91
92,Sony Laptop,electronics,16097.99,"Laptop by Sony, high quality and stylish",https://picsum.photos/200?random=92
93,Sapiens Biography,books,14076.6,"Biography by Sapiens, high quality and stylish",https://picsum.photos/200?random=93
94,Puma Shoes,fashion,8570.42,"Shoes by Puma, high quality and stylish",https://picsum.photos/200?random=94
95,Sapiens Non-Fiction,books,5515.9,"Non-Fiction by Sapiens, high quality and stylish",https://picsum.photos/200?random=95
96,The Alchemist Science,books,9791.62,"Science by The Alchemist, high quality and stylish",https://picsum.photos/200?random=96
97,Nike Jeans,fashion,46196.7,"Jeans by Nike, high quality and stylish",https://picsum.photos/200?random=97
98,Zara Jacket,fashion,8485.9,"Jacket by Zara, high quality and stylish",https://picsum.photos/200?random=98
99,Atomic Habits Fiction,books,28935.22,"Fiction by Atomic Habits, high quality and stylish",https://picsum.photos/200?random=99
100,HP Headphones,electronics,8066.69,"Headphones by HP, high quality and stylish",https://picsum.photos/200?random=100
101,Puma Jacket,fashion,19326.76,"Jacket by Puma, high quality and stylish",https://picsum.photos/200?random=101
102,Zara Shoes,fashion,5831.26,"Shoes by Zara, high quality and stylish",https://picsum.photos/200?random=102
103,Adidas Jacket,fashion,44200.25,"Jacket by Adidas, high quality and stylish",https://picsum.photos/200?random=103
104,Sapiens Non-Fiction,books,42906.81,"Non-Fiction by Sapiens, high quality and stylish",https://picsum.photos/200?random=104
105,Think Big Non-Fiction,books,8824.58,"Non-Fiction by Think Big, high quality and stylish",https://picsum.photos/200?random=105
106,Levi's T-Shirt,fashion,32560.18,"T-Shirt by Levi's, high quality and stylish",https://picsum.photos/200?random=106
107,Sony Headphones,electronics,30540.04,"Headphones by Sony, high quality and stylish",https://picsum.photos/200?random=107
108,Samsung Headphones,electronics,43271.2,"Headphones by Samsung, high quality and stylish",https://picsum.photos/200?random=108
109,Boat Monitor,electronics,4362.31,"Monitor by Boat, high quality and stylish",https://picsum.photos/200?random=109
110,Redmi Laptop,electronics,2991.82,"Laptop by Redmi, high quality and stylish",https://picsum.photos/200?random=110
111,Adidas Jacket,fashion,3398.25,"Jacket by Adidas, high quality and stylish",https://picsum.photos/200?random=111
112,The Alchemist Science,books,39075.7,"Science by The Alchemist, high quality and stylish",https://picsum.photos/200?random=112
113,The Alchemist Fiction,books,26299.91,"Fiction by The Alchemist, high quality and stylish",https://picsum.photos/200?random=113
114,The Alchemist Fiction,books,19297.2,"Fiction by The Alchemist, high quality and stylish",https://picsum.photos/200?random=114
115,Levi's Jacket,fashion,23623.65,"Jacket by Levi's, high quality and stylish",https://picsum.photos/200?random=115
116,Boat Monitor,electronics,22782.49,"Monitor by Boat, high quality and stylish",https://picsum.photos/200?random=116
117,Nike Jacket,fashion,7212.56,"Jacket by Nike, high quality and stylish",https://picsum.photos/200?random=117
118,Redmi Headphones,electronics,12730.14,"Headphones by Redmi, high quality and stylish",https://picsum.photos/200?random=118
119,Puma T-Shirt,fashion,39862.2,"T-Shirt by Puma, high quality and stylish",https://picsum.photos/200?random=119
120,Puma T-Shirt,fashion,22737.25,"T-Shirt by Puma, high quality and stylish",https://picsum.photos/200?random=120
